"locale","name","region","state","SA1_MAINCO","SA1_7DIGIT","SA2_MAINCO"
"adelaide","Adelaide","GCCSA","SA",40101100101,4100101,401011001
"adelaide","Adelaide","GCCSA","SA",40101100102,4100102,401011001
"adelaide","Adelaide","GCCSA","SA",40101100103,4100103,401011001
"adelaide","Adelaide","GCCSA","SA",40101100104,4100104,401011001
"adelaide","Adelaide","GCCSA","SA",40101100105,4100105,401011001
"adelaide","Adelaide","GCCSA","SA",40101100106,4100106,401011001
"adelaide","Adelaide","GCCSA","SA",40101100107,4100107,401011001
"adelaide","Adelaide","GCCSA","SA",40101100108,4100108,401011001
"adelaide","Adelaide","GCCSA","SA",40101100113,4100113,401011001
"adelaide","Adelaide","GCCSA","SA",40101100114,4100114,401011001
"adelaide","Adelaide","GCCSA","SA",40101100115,4100115,401011001
"adelaide","Adelaide","GCCSA","SA",40101100116,4100116,401011001
"adelaide","Adelaide","GCCSA","SA",40101100117,4100117,401011001
"adelaide","Adelaide","GCCSA","SA",40101100118,4100118,401011001
"adelaide","Adelaide","GCCSA","SA",40101100119,4100119,401011001
"adelaide","Adelaide","GCCSA","SA",40101100130,4100130,401011001
"adelaide","Adelaide","GCCSA","SA",40101100133,4100133,401011001
"adelaide","Adelaide","GCCSA","SA",40101100134,4100134,401011001
"adelaide","Adelaide","GCCSA","SA",40101100135,4100135,401011001
"adelaide","Adelaide","GCCSA","SA",40101100136,4100136,401011001
"adelaide","Adelaide","GCCSA","SA",40101100138,4100138,401011001
"adelaide","Adelaide","GCCSA","SA",40101100140,4100140,401011001
"adelaide","Adelaide","GCCSA","SA",40101100141,4100141,401011001
"adelaide","Adelaide","GCCSA","SA",40101100142,4100142,401011001
"adelaide","Adelaide","GCCSA","SA",40101100143,4100143,401011001
"adelaide","Adelaide","GCCSA","SA",40101100144,4100144,401011001
"adelaide","Adelaide","GCCSA","SA",40101100145,4100145,401011001
"adelaide","Adelaide","GCCSA","SA",40101100147,4100147,401011001
"adelaide","Adelaide","GCCSA","SA",40101100148,4100148,401011001
"adelaide","Adelaide","GCCSA","SA",40101100201,4100201,401011002
"adelaide","Adelaide","GCCSA","SA",40101100202,4100202,401011002
"adelaide","Adelaide","GCCSA","SA",40101100203,4100203,401011002
"adelaide","Adelaide","GCCSA","SA",40101100204,4100204,401011002
"adelaide","Adelaide","GCCSA","SA",40101100205,4100205,401011002
"adelaide","Adelaide","GCCSA","SA",40101100206,4100206,401011002
"adelaide","Adelaide","GCCSA","SA",40101100207,4100207,401011002
"adelaide","Adelaide","GCCSA","SA",40101100208,4100208,401011002
"adelaide","Adelaide","GCCSA","SA",40101100209,4100209,401011002
"adelaide","Adelaide","GCCSA","SA",40101100210,4100210,401011002
"adelaide","Adelaide","GCCSA","SA",40101100211,4100211,401011002
"adelaide","Adelaide","GCCSA","SA",40101100212,4100212,401011002
"adelaide","Adelaide","GCCSA","SA",40101100214,4100214,401011002
"adelaide","Adelaide","GCCSA","SA",40101100215,4100215,401011002
"adelaide","Adelaide","GCCSA","SA",40101100216,4100216,401011002
"adelaide","Adelaide","GCCSA","SA",40101100219,4100219,401011002
"adelaide","Adelaide","GCCSA","SA",40101100220,4100220,401011002
