"city","range_value","BIKE","CAR","PT","WALK","walk_time","bike_time","pt_time","car_time"
"Sydney",0.125,93,5904,875.5,5911,1.65234633179114,0.572562791052752,0.847876775241998,0.370331508421956
"Sydney",0.375,93,5904,875.5,5911,4.95703899537343,1.71768837315826,2.50755749968656,1.10151703373702
"Sydney",0.625,190,7389.5,753,9567.5,8.26173165895572,2.86281395526376,4.12082251617423,1.82033312096114
"Sydney",0.875,190,7389.5,753,9567.5,11.566424322538,4.00793953736926,5.68959211043227,2.52709101739481
"Sydney",1.125,347,10586.5,1165.5,7919.5,14.8711169861203,5.15306511947477,7.2156820823924,3.22209161480491
"Sydney",1.375,347,10586.5,1165.5,7919.5,18.1758096497026,6.29819070158027,8.70081075736603,3.90562587654672
"Sydney",1.625,441.5,12755,2184,5911,21.4805023132849,7.44331628368578,10.1466054401415,4.57797524371849
"Sydney",1.875,441.5,12755,2184,5911,24.7851949768672,8.58844186579128,11.5546083629688,5.2394120215398
"Sydney",2.125,476,13971,3346,4294,28.0898876404494,9.73356744789679,12.9262821731361,5.89019974706789
"Sydney",2.375,476,13971,3346,4294,31.3945803040317,10.8786930300023,14.2630150011886,6.53059353929527
"Sydney",2.625,492,14819,4249,2733,34.699272967614,12.0238186121078,15.5661251467046,7.16084043260569
"Sydney",2.875,492,14819,4249,2733,38.0039656311963,13.1689441942133,16.8368654148823,7.78117969450412
"Sydney",3.125,456,15405.5,4853,1252.5,41.3086582947786,14.3140697763188,18.0764271339222,8.39184312847912
"Sydney",3.375,456,15405.5,4853,1252.5,44.6133509583609,15.4591953584243,19.2859438802843,8.99305536280317
"Sydney",3.625,456,15405.5,4853,1252.5,47.9180436219432,16.6043209405298,20.4664949363069,9.58503412602667
"Sydney",3.875,456,15405.5,4853,1252.5,51.2227362855254,17.7494465226353,21.6191085023537,10.1679905098755
"Sydney",4.125,413.5,15534.75,5766,549.75,54.5274289491077,18.8945721047408,22.7447646835836,10.7421292202191
"Sydney",4.375,413.5,15534.75,5766,549.75,57.83212161269,20.0396976868463,23.844398269578,11.3076488167353
"Sydney",4.625,413.5,15534.75,5766,549.75,61.1368142762723,21.1848232689518,24.9189013233957,11.8647419418628
"Sydney",4.875,413.5,15534.75,5766,549.75,64.4415069398546,22.3299488510573,25.9691255951258,12.4135955395935
"Sydney",5.125,371,15210.25,6545.75,272.25,67.7461996034369,23.4750744331628,26.9958847736626,12.9543910646298
"Sydney",5.375,371,15210.25,6545.75,272.25,71.0508922670192,24.6202000152683,27.9999565892146,13.4873046823949
"Sydney",5.625,371,15210.25,6545.75,272.25,74.3555849306015,25.7653255973738,28.982084777965,14.0125074603628
"Sydney",5.875,371,15210.25,6545.75,272.25,77.6602775941838,26.9104511794793,29.9429809193132,14.5301655511415
"Sydney",6.125,291.75,14319.5,6307.75,145.25,80.964970257766,28.0555767615849,30.883326155236,15.0404403677234
"Sydney",6.375,291.75,14319.5,6307.75,145.25,84.2696629213483,29.2007023436904,31.8037728004989,15.5434887512889
"Sydney",6.625,291.75,14319.5,6307.75,145.25,87.5743555849306,30.3458279257959,32.704945851717,16.0394631319322
"Sydney",6.875,291.75,14319.5,6307.75,145.25,90.8790482485129,31.4909535079014,33.5874444026015,16.5285116826526
"Sydney",7.125,266.75,13487,5752.75,103,94.1837409120952,32.6360790900069,34.4518429721262,17.0107784669409
"Sydney",7.375,266.75,13487,5752.75,103,97.4884335756775,33.7812046721124,35.2986927518023,17.486403580267
"Sydney",7.625,266.75,13487,5752.75,103,100.79312623926,34.9263302542179,36.1285227777504,17.9555232857626
"Sydney",7.875,266.75,13487,5752.75,103,104.097818902842,36.0714558363234,36.9418410328079,18.4182701443739
