"city","population","mode","noshift","modeshift","jobshift","noshift_percent","modeshift_percent","jobshift_percent"
"Australia",6569784,"Walking",171403,552778,2379956.04195928,2.61,8.41,36.23
"Australia",6569784,"Cycling",53161.5,1934533,4537197.9592554,0.81,29.45,69.06
"Australia",6569784,"Public transport",220346,1778229,3996052.34500661,3.35,27.07,60.82
"Australia",6569784,"Driving",3156814.5,4097021,5667285.46542327,48.05,62.36,86.26
"Sydney",1826755,"Walking",62912,166074,717962.106577113,3.44,9.09,39.3
"Sydney",1826755,"Cycling",9624.5,541396.5,1252960.44873592,0.53,29.64,68.59
"Sydney",1826755,"Public transport",93805,499268,1192448.61055905,5.14,27.33,65.28
"Sydney",1826755,"Driving",748870,1118575,1534828.71427848,40.99,61.23,84.02
"Melbourne",1681762,"Walking",41559.5,130304.5,609638.009149022,2.47,7.75,36.25
"Melbourne",1681762,"Cycling",16481.5,449515.5,1143220.28366343,0.98,26.73,67.98
"Melbourne",1681762,"Public transport",64911,412552,1045259.72280497,3.86,24.53,62.15
"Melbourne",1681762,"Driving",731587.5,991894,1434436.91029096,43.5,58.98,85.29
"Brisbane",831628,"Walking",18278,60230.5,248169.61002606,2.2,7.24,29.84
"Brisbane",831628,"Cycling",6276,223231.5,565396.851675184,0.75,26.84,67.99
"Brisbane",831628,"Public transport",23883,203842,495465.453624741,2.87,24.51,59.58
"Brisbane",831628,"Driving",385125.5,495189.5,720737.876114713,46.31,59.54,86.67
"Perth",500603,"Walking",8917.5,36275,153441.101597531,1.78,7.25,30.65
"Perth",500603,"Cycling",4193.5,135907.5,339219.354770815,0.84,27.15,67.76
"Perth",500603,"Public transport",13390,124716,252883.10443207,2.67,24.91,50.52
"Perth",500603,"Driving",249061,302674,449757.950889762,49.75,60.46,89.84
"Adelaide",456630,"Walking",7605,34020.5,162779.978765808,1.67,7.45,35.65
"Adelaide",456630,"Cycling",3940,137684.5,331193.377920596,0.86,30.15,72.53
"Adelaide",456630,"Public transport",10673,124888,279989.866282812,2.34,27.35,61.32
"Adelaide",456630,"Driving",262425,313560,395873.291244711,57.47,68.67,86.69
"Canberra",167251,"Walking",6331,13594.5,43696.4421392493,3.79,8.13,26.13
"Canberra",167251,"Cycling",2956,45935,106490.844239162,1.77,27.46,63.67
"Canberra",167251,"Public transport",2813,41951,89498.626859215,1.68,25.08,53.51
"Canberra",167251,"Driving",91636.5,116214.5,150004.544461429,54.79,69.49,89.69
"Hobart",76364,"Walking",3422,9182,21530.1006308497,4.48,12.02,28.19
"Hobart",76364,"Cycling",721.5,27752,46588.1527541212,0.94,36.34,61.01
"Hobart",76364,"Public transport",1573,25805,46253.7294362582,2.06,33.79,60.57
"Hobart",76364,"Driving",43906,54131,71540.9642160375,57.5,70.89,93.68
"Darwin",57491,"Walking",1762.5,6485.5,22499.6919418857,3.07,11.28,39.14
"Darwin",57491,"Cycling",1001,19361,36252.6098818827,1.74,33.68,63.06
"Darwin",57491,"Public transport",832,18337,26927.7561185115,1.45,31.9,46.84
"Darwin",57491,"Driving",33219,38486,54816.1170315144,57.78,66.94,95.35
"Gold Coast",211636,"Walking",4351,16308.5,89310.2373887117,2.06,7.71,42.2
"Gold Coast",211636,"Cycling",1678,61610.5,166504.464383423,0.79,29.11,78.67
"Gold Coast",211636,"Public transport",2595,56697,133601.577933088,1.23,26.79,63.13
"Gold Coast",211636,"Driving",118347.5,131797.5,184502.547124754,55.92,62.28,87.18
"Newcastle",162937,"Walking",3174.5,15236.5,68581.5193514864,1.95,9.35,42.09
"Newcastle",162937,"Cycling",1226.5,51074.5,113423.377818164,0.75,31.35,69.61
"Newcastle",162937,"Public transport",1397,47085,95075.5698196448,0.86,28.9,58.35
"Newcastle",162937,"Driving",92982.5,101789.5,139886.358957626,57.07,62.47,85.85
"Sunshine Coast",93982,"Walking",1753,8693,37549.0977487072,1.87,9.25,39.95
"Sunshine Coast",93982,"Cycling",770.5,29626,68840.1292629828,0.82,31.52,73.25
"Sunshine Coast",93982,"Public transport",469,27535,49791.652674518,0.5,29.3,52.98
"Sunshine Coast",93982,"Driving",52905,57414.5,84325.2247982467,56.29,61.09,89.72
"Wollongong",98763,"Walking",2250.5,10099,44327.9205545514,2.28,10.23,44.88
"Wollongong",98763,"Cycling",396.5,30910,59603.451696284,0.4,31.3,60.35
"Wollongong",98763,"Public transport",1272,29013,58027.1873064023,1.29,29.38,58.75
"Wollongong",98763,"Driving",51733,57310,74776.3253699053,52.38,58.03,75.71
"Geelong",84996,"Walking",1803,9070.5,37698.1999712037,2.12,10.67,44.35
"Geelong",84996,"Cycling",668.5,31194,62217.1634225517,0.79,36.7,73.2
"Geelong",84996,"Public transport",763,28948,56127.6129483404,0.9,34.06,66.04
"Geelong",84996,"Driving",49111.5,53734.5,74576.8714826685,57.78,63.22,87.74
"Townsville",62468,"Walking",945,5373.5,24106.9880326045,1.51,8.6,38.59
"Townsville",62468,"Cycling",738.5,24141.5,47356.6097625725,1.18,38.65,75.81
"Townsville",62468,"Public transport",293,21837,32990.3099855598,0.47,34.96,52.81
"Townsville",62468,"Driving",49531,52705,59429.9642693586,79.29,84.37,95.14
"Cairns",50967,"Walking",1310,5621,15821.4026643519,2.57,11.03,31.04
"Cairns",50967,"Cycling",879.5,20485,33820.6106320068,1.73,40.19,66.36
"Cairns",50967,"Public transport",459,18733,25609.4598837407,0.9,36.76,50.25
"Cairns",50967,"Driving",36997,40806,43615.0049490855,72.59,80.06,85.57
"Toowoomba",50234,"Walking",1026,6355.5,22846.7614001417,2.04,12.65,45.48
"Toowoomba",50234,"Cycling",404.5,25934.5,41338.4552331061,0.81,51.63,82.29
"Toowoomba",50234,"Public transport",146,24326,29183.0493423105,0.29,48.43,58.09
