"city","Walking_No Shift","Walking_Mode Shift","Walking_Job Shift","Cycling_No Shift","Cycling_Mode Shift","Cycling_Job Shift","Public transport_No Shift","Public transport_Mode Shift","Public transport_Job Shift","Driving_No Shift","Driving_Mode Shift","Driving_Job Shift"
"Australia (21 cities)",2.61,8.41,36.23,0.81,29.45,69.06,3.35,27.07,60.82,48.05,62.36,86.26
"Sydney, New South Wales",3.44,9.09,39.3,0.53,29.64,68.59,5.14,27.33,65.28,40.99,61.23,84.02
"Melbourne, Victoria",2.47,7.75,36.25,0.98,26.73,67.98,3.86,24.53,62.15,43.5,58.98,85.29
"Brisbane, Queensland",2.2,7.24,29.84,0.75,26.84,67.99,2.87,24.51,59.58,46.31,59.54,86.67
"Perth, Western Australia",1.78,7.25,30.65,0.84,27.15,67.76,2.67,24.91,50.52,49.75,60.46,89.84
"Adelaide, South Australia",1.67,7.45,35.65,0.86,30.15,72.53,2.34,27.35,61.32,57.47,68.67,86.69
"Canberra, Australian Capital Territory",3.79,8.13,26.13,1.77,27.46,63.67,1.68,25.08,53.51,54.79,69.49,89.69
"Hobart, Tasmania",4.48,12.02,28.19,0.94,36.34,61.01,2.06,33.79,60.57,57.5,70.89,93.68
"Darwin, Northern Territory",3.07,11.28,39.14,1.74,33.68,63.06,1.45,31.9,46.84,57.78,66.94,95.35
"Gold Coast, Queensland",2.06,7.71,42.2,0.79,29.11,78.67,1.23,26.79,63.13,55.92,62.28,87.18
"Newcastle, New South Wales",1.95,9.35,42.09,0.75,31.35,69.61,0.86,28.9,58.35,57.07,62.47,85.85
"Sunshine Coast, Queensland",1.87,9.25,39.95,0.82,31.52,73.25,0.5,29.3,52.98,56.29,61.09,89.72
"Wollongong, New South Wales",2.28,10.23,44.88,0.4,31.3,60.35,1.29,29.38,58.75,52.38,58.03,75.71
"Geelong, Victoria",2.12,10.67,44.35,0.79,36.7,73.2,0.9,34.06,66.04,57.78,63.22,87.74
"Townsville, Queensland",1.51,8.6,38.59,1.18,38.65,75.81,0.47,34.96,52.81,79.29,84.37,95.14
"Cairns, Queensland",2.57,11.03,31.04,1.73,40.19,66.36,0.9,36.76,50.25,72.59,80.06,85.57
"Toowoomba, Queensland",2.04,12.65,45.48,0.81,51.63,82.29,0.29,48.43,58.09,72.43,77.06,95.24
"Ballarat, Victoria",2.61,13.11,49.28,0.68,54.68,93.63,0.82,50.21,71.09,80.75,86.36,97.34
"Bendigo, Victoria",2.57,13.21,49.26,0.86,51.74,90.33,0.86,47.99,76.44,80.12,86.08,97.38
"Mackay, Queensland",1.46,9.74,26.11,0.91,40.31,71.74,0.27,36.7,26.11,74.43,78.36,87.39
"Launceston, Tasmania",3.89,14.76,42.7,0.67,55.5,87.53,1.08,51.21,64.34,78.72,86.67,96.1
"Albury Wodonga",2.38,12.93,24,0.77,50.41,51.06,0.4,47,38.1,81.21,86.88,92.04
